address, tokens
0xA647abA1D291fE675c4bfbE0122Da018aFadde33,	236.067608
0xeFbA7bBc0232086adbBBdCD1071148dC3D0e0CD2,	5395.831046
0xAb561e75aCf6a4626F3bBC689dAFB41D74901F84,	3777.081732
0x1B8C7b16317D658fc2193a582216b4aF0c65CC3f,	3068.878907
0x57D8eCc29F3aA3a63261644586CEc7a3B6cB3053,	6131.013026
0x2e45cC6F5f3A6f4a0E0793898F5C2eBAD868826c,	1652.473258
0x705B60B13EB10835283D39ec253D31D31FA8a38F, 1348.957762
0x24d9f17d7d0CC8DAA7A889c4baFdEf55B73e3C8e,	944.270433
0x0998a8Eee04eF61e621eE8a7714C3BF7FD023EBa,	6407.549367
0xC4D4877998D5C0072e301871da6D264e3b511063,	1416.405650
0x1bD808D6cC0a09ef1650506EB608bd4c10D8603D,	236.067608
0xe9dd8b36C7d843E811601360b836bb73AceD82cf,	1180.338041
0xEdddc1eBA8A05266316cE3455d42894f3Def704B,	4013.149340
0x4F11aA4f8D06faa298B0f4d997BA237ED89cb6Bd,	708.202825
0x009DcE424d249C9b17C695Eb42B10C05515d55CF,	67.447888
0xEE6d4DDabb5489DAD7600283e3060a986191DFf9,	944.270433
0x80b16E5ce38F3f9c89cFBCeF1aD1a5696A66E579,	1416.405650
0xFbb4FC291F65b888D0325FAfc942C7D997BcFf19,	472.135217
0xDe4579A1C5f746c23E2Ecd6f6209Af59037eE580,	236.067608
0xfE90D41f282E3Ea872c5fA2eEaF8738ac172b444,	5058.591606
0x577FA2553Af35908072Af7fc61270fd98022002b,	3709.633844
0xf802a011f4582Cd40001daA558d5344AD5CB6f87,	236.067608
0x537f904BA3Dd9Ea01322573C40f3a92586cbD3bE,	236.067608
0x1Fe37aBCE524f35A7A90507176eA3c67AFA366a1,	4485.284557
0x95d27226373455941b506e668E2941E551813d68,	4013.149340
0xE5AD3585382e18Bb758690aa93e4394Ab3D089Bf,	337.239440
0xA7c0C31415926EBa59a8952560A02bC1694C1B83,	4721.352165
0x07c3dE228C1C95A9dC1C724b1318c898E35F1C56,	4249.216949
0x00F68A79bF71103ab23794C973F92e8dC66DB429,	236.067608
0x2D4e5b960376f4997F2EC557de86FAB00c1A0B59,	2124.608474
0xB5D554Bd0328D596d359BEbA0d33bdee8300CECe,	2158.332418
0x81159050517B734d38e65B9F42bE722cB019442D,	944.270433
0xaFF6B247Acf8Ce62375173f7B9928a223B6f99d5,	3372.394404
0x43A1E1adA4449e62B1300aacAaeDeA070DEabf10,	4957.419774
0x023Cf68E441cd5486Fa79fb9C39eAea91289D8F3,	944.270433
0x803c303C9d7Db4447f0ea695453A2C8F21cD826f,	6070.309927
0x5d173ad4e9baFe326Be15B3863811F7320936976,	7082.028248
0xD51478DB2f716fB266e2F7a09ac1F14323190480,	3541.014124
0x91F3cA452D2fd5603ce8afc312A02518eEADB915,	337.239440
0x8D0B64Cc6738033ecD728727d701f2aE269e9128  ,	708.202825
0x4A125fc27BC97053bF23a1A79ed0475EEBFbF36E,	337.239440
0x720Db67b3ee504a5De6C40186b93D0EA0d201701,	370.963384
0x24277759534af64f7949079BEC4F447401EdFBC5,	67.447888
0x26C412a94fFA5189807BE156cB4f56fc2346cE87,	1652.473258
0xC54b33A4d31558EF273E7faBba5a850BFC503943,	1652.473258
0xDDBa218E59177e0318E632431C202F87a907e269,	674.478881
0x04e7E499a0B488E202184F7Eb9E7961C58ec5178,	67.447888
0x1289A533c62dc975c17D1920d2B2978A025620B2,	472.135217
0x1d585c7110cB96474cde3CbFD70057e18Ab49263,	4721.352165
0xc10Bd0e6b87836D35fadd0c65195dc239DCCB1F1,	134.895776
0x2d7bA8D3D8717499DAb7424Ea03f20Ca9623fE1d,	2360.676083
0x3657dC2D68e7d746acB89BC638C5e9163D044F6d,	1477.108749
0x3a35dC87FF16267315532c56B4c661A9c1540891,	1888.540866
0x93056bC4E6f9C547Ce7eE5a369cD52cb3345592a,	3541.014124
0xdfb58d1593Dbaf515c3e28b4B6eabF144249eB2f,	5665.622598
0xD4149907c84deA9a9b405C552f9446Ac5660Bbff,	708.202825
0x3EC923EE0692EE050540F0bA2c435D605d9A795b,	3304.946516
0xCe6754a176B23ACcbaf4197Fd739e146811fe4c3,	5733.070486
0x032d74bF64C74EE22086Ac9FFEfb28DDfA90A315,	2360.676083
0xAb9022Cd1A88Edb693c1E6B7acdE036E89B07d67,	1888.540866
0x10180e4BE33a008968140e2C58d9EE37e9aFb168,	236.067608
0xd50803E8AB37Bd09B923397633Fc42d512799929,	3709.633844
0xD8C6411b5e6C1d8d116dBfe481513C057576bEC2,	4249.216949
0xc19A3080e69bD144900fc07b03eFdBcF1C350f09,	472.135217
0x45313552AE7B11eA7b6C1007AC043b80350666ca,	1180.338041
0x7eCE447cD793BED325f1378BaA6892bA68B35A84,	5193.487382
0xB8b55783DfF90E11126369392F11E1E5BcA0d4A8,	5665.622598
0x9ebD5533885a3992462aEE3916d45bD944ad6C0c,	708.202825
0xC3D59553F71909b280e7d2F0D7DF1a116C904578,	5429.554990
0x2E26Ca6c77e0D34Fd97308FD0B2f3853De02884f,	2933.983131
0x711e7A3a04dDA95aB035567De5F871169580114c,	236.067608
0x8384152813290A4E93DF23f3C0238F179D3F2965,	708.202825
0x3795E36e1E511Af49741682E578cD8ed74f44200,	1652.473258
0x59fe43CD218d13f07985D655Ed4EA79FE6276Ca7,	1888.540866
0x3aFB4d4faC1794Fa15C3315525Ada8A90a5d525C,	1281.509873
0x44bc65C0d223889F82d649bCd714650DE577E530,	5429.554990
0x48612e2c7b3e6E424f7c2C9f212064e38CaCC521,	2124.608474
0x20766A9908b51320652170682110058370175dd5,	2023.436642
0x21393098DA15Af830891c2e19A8128169dfDc6C1,	944.270433
0xBA93E7908A3896A880f8BE41Bc1B793De11ce1b8,	539.583105
0xB0A2EDe7BD01566b7dDf6059e8a0fc729450842D,	404.687329
0x2636190366dd183686b9e329ed995fb415129608,	3304.946516
0xf6AE8e56C8cf1Cf051d7D2bE0CDdFF10d69c5706,	1348.957762
0x8b7f09D0198eD5e535B531A2E3BE64c8DeF52BB4,	1888.540866
0x783E1F3896ae3cEbACBB99A4b82E80431A57B811,	4721.352165
0x429c747c294B82027bDc62dE26faA8A6D10D9E19,	6744.788808
0x67Dbce9A4CeE794d655DcaE25c870Bad4A8dB2a4,	236.067608
0xEe29B1a438ccB350a5712FE31b8dC10c2094AE8A,	5429.554990
0xe245aCBD31883D2842787F286D2B00c903b13E25,	4485.284557
0xca5157e81D9b357dD0d3A6C670Baeef4f87a33E7,	1180.338041
0x4254CD348041c439B86c37C51dAABcf9166b1735,	5159.763438
0x1fefb1e64313c8cf9aef6215797d3f264cacba18,	1180.338041
0x41fd2b3D3c5F9BF126106c8C08F2D9FFcEfdAF42,	2832.811299
0x766662D6E131CD07c534652c1E5775134fE0763D,	472.135217
0x6C716B6A1d36C881c43Fa493AacD2609D52E9ce1,	236.067608
0x14C9b73BA9FEe371bFc634c85aA1DE78B03d7018,	134.895776
0xD0927d55B298Dc00e7f33ea0097B841c46b1BFb1,	4721.352165
0xa8808bd7410abAc1082D8cA31E13BE7bBDc31443,	236.067608
0x59F8C971e5b563fc9e4308a0AE0FAaDCF82B2E0c,	5193.487382
0x5f96E352033444b73cCbbA8c319Cf8C691bf8485, 30
0x6016AFC59e9D7bF229a51036F17C15E6412759f1, 30
0xbd46Ac951eF65292110Fbb2548b935313c89399E, 30
0x2146A97a547CA38083D7Dd65e3A1154C6D2f58F8, 30
0x95fF0678AE66b35ec5FA01D8c138c67799D3A574, 30
0x07826211524152b3f998BD5a061B01BCf54150c8, 30
0x3ab0898052f958bb6A91F613976C094D9CAEce4f, 30
0xda76410b1e18133681b068eEf86b475eB6D1F8d6, 30
