address, tokens
0xf4748320EF1dCb160Ba89b929Caf7eC2202E6F3D,	250
0xB5a17B9fE98bC69218fecee94Ebd8987D8EB051D,	250
0xf8D28d92545Af7d5075dBF52E9F5a761e644710A,	250
0xd57EA872d193b42269eAfCa2bBB3e773A7DfC371,	250
0x42022cA88AdfD36bD04EB7d220aea2ccdECD5d39,	250
0x96DBBEE1D054285E5cbeA6622bb98E9D5f6fb915,	250
0x3F2Ad28636e59d9540c9552F4E17f44E8222Bf2F,	250
0x4ec77A0Cb90072e886fb76F176DF922cB65be32C,	250
0x36FB6152C3E6657d3Cff9A391D79Ca233DEFFFdE,	250
0xBa54ED1472102912925f74087a659C14E32e7EdC,	250
0x06E5473abD44b7d924EF4C3642d86267d0296a0b,	250
0x4Ba91a88923eE797bE4934969738E95C7607fcFC,	250
0x1F8536b4B0C503F5a1ec35dAc3f293C0d712380e,	250
0x90833Aa8411398C5F7ebE6a6E1C84D4fB4EF8288,	250
0x1d020Dc8a00316AB8752Ec4EBD528622B3A833aA,	250
0x79bd7d5599b4c8483606c11c66599d2F04253D39,	250
0xF8AE2DD4c230eAEcF58E3A565781DA1721f34BeE,	250
0x13ae863A059dcCc411624dE20E1e2CD2E6823B0C,	250
0xf6cd3f4FB6ff269271FC56C205C5b0a8b2Cc3650,	250
0xd78bD85e5546302BBe8536DbDdE68F61EAadD5E9,	250
0x2b602D3e7264c46eb393af0c01d6E8A571Ef7a12,	250
0x3881eaa03FE1836261e2446ef62736a41E8f2a1a,	250
0xC1E159401b2e9a00EBc784b8cFe42D8529a07B81,	250
0xC89b8Dd7e3E137DB108575EeAe301E52b6C72d9F,	250
0x16740CDdCc88A73298e4472A0427412AEe3EF6F4,	250
0x75A4464658822A1eBd78b116ee0745325fD6DDea,	250
0x9C360546a6C68b4c15107164Bb18fb690976e4a1,	250
0x3AE5094abF75bf643173C2b9f0aDF3076Dad8A7b,	250
0x2Cc8A2cB8b8261df1B03766E4461a3eE90a916f4,	250
0x5465Ca69C2Afc96d05D0247d43813de28AF38C04,	250
