address, tokens
0x51E4aae33514Af854591Bc68d0052b670AD54698,	1573.784055
0xC2C8566d2efa9BAE9F3b43558e33f6BbBA442c52,	786.892028
0x00A83cBB2Fc03Cc594Ea9fCE9612a77298aF71f2,	944.270433
0x48184b844109A56a61819c0c9FFeAC8C72F054b1,	157.378406
0x0797fb9c8c72e6543ee532b30475d82274601cb9,	157.378406
0xdCB8A91F1b97FD8B3A02a94B43dA7FbD29aFa718,	314.756811
0x56313BAc26f40A5339c2894F8B3B8300C466D8de,	656.492777
0xE457d22238c5Cb530542938B95Be758ed312A548,	314.756811
0x8a009b67DB07c78DB874F10fdeF8CAC8D458BD2D,	157.378406
0x18eF4786E5317dF70c9CDd1dC9F0F41665860cc8,	786.892028
0xaF4371bD606D211209E468eb95C5236A05b709a1,	224.826294
0x19F0f1C769e1DdE74bab992Bf635833AAb5Cd61e,	314.756811
0x7AA7cAc133CD9DeF789c3B53A712072e1FBed26F,	786.892028
0x46002004C8fF774FC19aa3577e9F7194C8d6CF69,	786.892028
0x89eEB6157c4457E2BC3ed44744cbecdcD5A1608F,	314.756811
0x41570186fAd125641bd2997F3fA12f14C01372AC,	786.892028
0x4439C6CBb0E12d4237600C2A43cf50b9A57F2F09,	314.756811
0x6E919e099bc33F9e2F4699c0b0966185B4866EBc,	1348.957762
0x1963128506211d4e2d57b76eA69414e164D459D7,	314.756811
0x59Ef982a76698a62064bBcB8CfE48Fc43C2D5176,	44.965259
0x8F956768c9f4931a085561fC3aC72BCf9BF4B97d,	157.378406
0x7091F6DeA767BB61795D7dA1462eA3B751EBd425,	1259.027244
0x95EcD76E7cCf73135745E34e0103EC266C7fD943,	786.892028
0xfA45080abef84FA243A38e45d8a15D1E4F326bE3,	89.930517
0x54abe209a969a9f3b0bf07d54647b786f09753b4,	786.892028
0x298310dB750f00D6388B69358aeA897aC7fa679a,	629.513622
0x278323f279385e44A6574c685bb1BB680E5C6ded,	786.892028
0x20C2Eb7064334d959AacBc50f87a990dac6f79b5,	134.895776
0xEB4670914B9b046137055c37258824586E754273,	899.305174
0x08F8e84381974E0049CfD2A4E386034Ab614A3bd,	629.513622
0x9cdddd698b395e4ee1362ca078ae06083144d641,	472.135217
0xd0500da919d327f12BdaAa4A8F30bfeaB60136d1,	472.135217
0x312B6cfe21E3df518abAF8009f05287A47878324,	314.756811
0x55A40c0082d4c45124a6F63be4fECCE3e7ACDF3b,	674.478881
0x96DBBEE1D054285E5cbeA6622bb98E9D5f6fb915,	157.378406
0xDbbf371EBc60ad2449e739d872cF6a242142C6aA,	224.826294
0x68F7C8858c159aF96290Ebc4e399BE548e911c0a,	157.378406
0x0C87081Ca56f91C27c7fe5dac59372B59028E562,	157.378406
0x1e9376Aa32c972982Cb38F01CfACcc578b20864d,	157.378406
0x697ccEC897c77FeEDc8242aAD867DF18c6FB9838,	157.378406
0x6D1eF1f63b687feAAb1bd545c607247779196AAE,	157.378406
0x3a52354Da0723B8d5d46Aa3CFb620C26e197C5e0,	157.378406
0x3fd4e598ad29b3a4674B7E1EdD29c7476fceecc4,	157.378406
0x926eaC6320a423E935520abF05eEe635EFC10401,	157.378406
0x66CC30ADea902979f40869A2c9773e2079866F17,	449.652587
0x76A6e164b17A8Dc1E96cb5ab75061426B252430B,	314.756811
0x0570811EB3fcb0903D3299FA654bD3801Fc58D83,	449.652587
0x12B562dC9e78D356A3792204Ab9A311A2B910D0D,	44.965259
0x36FB6152C3E6657d3Cff9A391D79Ca233DEFFFdE,	472.135217
0x78f6286ad8405C4251D404245A080dF0B63DDBeA,	472.135217
0x6166080ECE138205CD2B6172f267f29ED570C308,	314.756811
0xcabBFB234E3D73d98DF7F116a3Ef0A920b7cc34D,	314.756811
0x9EdBE5b26fdE6d219751070565f002e140DbA020,	449.652587
0x1d020Dc8a00316AB8752Ec4EBD528622B3A833aA,	314.756811
0x9786C46E38255f9A38D8AE0fae4AdD4083a42FD4,	157.378406
0x7d89AfDF195BD44d9EFEb91110d59c763bB63F1D,	314.756811
0xf1eb1B85417cdce454F7077D14874158d6fF568a,	314.756811
0xEa5510c0193f8B7404f45F05873b549Cdf536A50,	314.756811
0x9EBDDede91a67Af544932b22505c29F0bE34261b,	449.652587
0x097F3ff80295864E4C19224900151d6d71724A78,	314.756811
0xD382c13b2FEB6c753d0565C4F8e2583ecBAbe144,	314.756811
0xAe7668449Ed968c5F28e73704Ec7aF79b3ce4F2D,	314.756811
0x179C7521906Ff83014f610E79a5977586F057393,	449.652587
0xbd95997035bB5640B5782a6d23619cE31D87A232,	314.756811
0x7643383077ce81EEC3C0975CcF0b509683C92E4b,	157.378406
0xB57dF41b1386A135C6f9C003162Ff1709A296D40,	157.378406
0x06f71914505f56CBe8b4ae2CeEf6f01aF86d5B24,	157.378406
0xBe5cC9885477b13a21Bda98119f8E717fC6e70c2,	157.378406
0xa0cC06297C30674ab63FCB6543f23930Ac39A9F1,	157.378406
0xA4770d29b7B3baf1990dD31CA001175745F55315,	314.756811
0x52Cba3bDC27B274AAcbF21b1153d1d1374467a9D,	332.742915
0xF8AE2DD4c230eAEcF58E3A565781DA1721f34BeE,	157.378406
0x42EB1e215a314adf2b483B2187Db8A435435A167,	449.652587
0x3761365429599cA7A2EA7Cbd5A795Ab796Fa5183,	157.378406
0x7E5Ff33aB9F2D9BEf3EC2A327c4C7c1B155FDc80,	449.652587
0x7e6574B16a5b9Ba992E1353c0C93aCC92AAccCe9,	314.756811
0x85011e9702F9220E06acafF6Ab5c9eCEdD0a5A29,	314.756811
0x74fFD65883b12390AeaEc1aD28B2E0115Ae28D41,	224.826294
0xea2621e22eAB7A6B63035d6019EB428511a6Ba6f,	89.930517
0x3b60cC0Ca74943159374717E31DaA548Aeb97d39,	89.930517
0x5d627fabfb9685143990F6D9C5Ab579dE779D80c,	157.378406
0xC320C5Dc0bA4F6d24A1CA213eB7522d15027ba44,	157.378406
0xC14F68e27f6A1453FDB434d9Bc3Bf03107F5936b,	157.378406
0x8d2b309886Ef4d377aA359D51755dAAC2dAaf9aE,	157.378406
0xd2383235AFcf8E93698EA4cfB7ef55405fE8e249,	157.378406
0x1e95a058Cd2f2D9b505A3c6B039bBA36e5854324,	157.378406
0x687cEb8A14e76f4cd63160be56416bB890C1A9C6,	157.378406
